-4.882e-05,0.0164
-4.881e-05,0.0166
-4.880e-05,0.0168
-4.879e-05,0.017
-4.878e-05,0.017
-4.877e-05,0.0164
-4.876e-05,0.0166
-4.875e-05,0.018
-4.874e-05,0.0176
-4.873e-05,0.0182
-4.872e-05,0.0182
-4.871e-05,0.0188
-4.870e-05,0.0194
-4.869e-05,0.0188
-4.868e-05,0.0194
-4.867e-05,0.0188
-4.866e-05,0.0188
-4.865e-05,0.0194
-4.864e-05,0.0196
-4.863e-05,0.0196
-4.862e-05,0.0192
-4.861e-05,0.0196
-4.860e-05,0.0198
-4.859e-05,0.0194
-4.858e-05,0.0188
-4.857e-05,0.0198
-4.856e-05,0.0198
-4.855e-05,0.0198
-4.854e-05,0.019
-4.853e-05,0.019
-4.852e-05,0.0188
-4.851e-05,0.0188
-4.850e-05,0.0188
-4.849e-05,0.0182
-4.848e-05,0.0182
-4.847e-05,0.0172
-4.846e-05,0.0178
-4.845e-05,0.018
-4.844e-05,0.0174
-4.843e-05,0.017
-4.842e-05,0.0168
-4.841e-05,0.0168
-4.840e-05,0.0164
-4.839e-05,0.0166
-4.838e-05,0.0164
-4.837e-05,0.0164
-4.836e-05,0.0162
-4.835e-05,0.0154
-4.834e-05,0.0152
-4.833e-05,0.0156
-4.832e-05,0.0152
-4.831e-05,0.015
-4.830e-05,0.0152
-4.829e-05,0.014
-4.828e-05,0.0144
-4.827e-05,0.014
-4.826e-05,0.0148
-4.825e-05,0.0148
-4.824e-05,0.0156
-4.823e-05,0.0154
-4.822e-05,0.0158
-4.821e-05,0.0148
-4.820e-05,0.0154
-4.819e-05,0.0156
-4.818e-05,0.0154
-4.817e-05,0.016
-4.816e-05,0.0156
-4.815e-05,0.0166
-4.814e-05,0.017
-4.813e-05,0.0168
-4.812e-05,0.0168
-4.811e-05,0.0172
-4.810e-05,0.0174
-4.809e-05,0.0178
-4.808e-05,0.0178
-4.807e-05,0.0178
-4.806e-05,0.0178
-4.805e-05,0.0188
-4.804e-05,0.019
-4.803e-05,0.0192
-4.802e-05,0.0188
-4.801e-05,0.0202
-4.800e-05,0.0196
-4.799e-05,0.0194
-4.798e-05,0.02
-4.797e-05,0.0192
-4.796e-05,0.0198
-4.795e-05,0.0198
-4.794e-05,0.0204
-4.793e-05,0.0202
-4.792e-05,0.0196
-4.791e-05,0.0198
-4.790e-05,0.0198
-4.789e-05,0.0194
-4.788e-05,0.0198
-4.787e-05,0.019
-4.786e-05,0.019
-4.785e-05,0.019
-4.784e-05,0.0184
-4.783e-05,0.018
-4.782e-05,0.0184
-4.781e-05,0.0178
-4.780e-05,0.0174
-4.779e-05,0.0176
-4.778e-05,0.0172
-4.777e-05,0.017
-4.776e-05,0.0166
-4.775e-05,0.0168
-4.774e-05,0.017
-4.773e-05,0.0162
-4.772e-05,0.0162
-4.771e-05,0.016
-4.770e-05,0.0164
-4.769e-05,0.0162
-4.768e-05,0.016
-4.767e-05,0.0154
-4.766e-05,0.0152
-4.765e-05,0.0152
-4.764e-05,0.0156
-4.763e-05,0.0148
-4.762e-05,0.0154
-4.761e-05,0.0152
-4.760e-05,0.0148
-4.759e-05,0.0154
-4.758e-05,0.0156
-4.757e-05,0.015
-4.756e-05,0.015
-4.755e-05,0.0154
-4.754e-05,0.0152
-4.753e-05,0.0156
-4.752e-05,0.0164
-4.751e-05,0.0162
-4.750e-05,0.0166
-4.749e-05,0.0164
-4.748e-05,0.0168
-4.747e-05,0.0174
-4.746e-05,0.0168
-4.745e-05,0.0176
-4.744e-05,0.0176
-4.743e-05,0.0184
-4.742e-05,0.0184
-4.741e-05,0.0192
-4.740e-05,0.0186
-4.739e-05,0.0194
-4.738e-05,0.0192
-4.737e-05,0.0194
-4.736e-05,0.0194
-4.735e-05,0.02
-4.734e-05,0.0196
-4.733e-05,0.0196
-4.732e-05,0.0196
-4.731e-05,0.0194
-4.730e-05,0.0198
-4.729e-05,0.0202
-4.728e-05,0.0196
-4.727e-05,0.0198
-4.726e-05,0.0198
-4.725e-05,0.0196
-4.724e-05,0.0196
-4.723e-05,0.0196
-4.722e-05,0.0198
-4.721e-05,0.019
-4.720e-05,0.0192
-4.719e-05,0.0192
-4.718e-05,0.0188
-4.717e-05,0.0184
-4.716e-05,0.018
-4.715e-05,0.0178
-4.714e-05,0.0176
-4.713e-05,0.0178
-4.712e-05,0.0172
-4.711e-05,0.017
-4.710e-05,0.0176
-4.709e-05,0.0162
-4.708e-05,0.017
-4.707e-05,0.016
-4.706e-05,0.0158
-4.705e-05,0.016
-4.704e-05,0.0158
-4.703e-05,0.0156
-4.702e-05,0.0152
-4.701e-05,0.0144
-4.700e-05,0.0152
-4.699e-05,0.0148
-4.698e-05,0.0152
-4.697e-05,0.015
-4.696e-05,0.0148
-4.695e-05,0.0154
-4.694e-05,0.0148
-4.693e-05,0.015
-4.692e-05,0.0156
-4.691e-05,0.0148
-4.690e-05,0.0154
-4.689e-05,0.0158
-4.688e-05,0.0164
-4.687e-05,0.016
-4.686e-05,0.0164
-4.685e-05,0.0162
-4.684e-05,0.0166
-4.683e-05,0.017
-4.682e-05,0.0172
-4.681e-05,0.018
